"Refs","Value","Footprint","Qty","DNP"
"C1","1000uF","","1",""
"C2","100uF","","1",""
"C3","100nF","","1",""
"D1","LED","","1",""
"D2","LED","","1",""
"D3","LED","","1",""
"D4","LED","","1",""
"D5","LED","","1",""
"D6","LED","","1",""
"LS1","4ohm","","1",""
"R1","10k","","1",""
"R2","10k","","1",""
"R3","10k","","1",""
"R4","10k","","1",""
"R5","10k","","1",""
"R6","10k","","1",""
"R7","2.2k","","1",""
"R8","2.2k","","1",""
"R9","2.2k","","1",""
"R10","2.2k","","1",""
"R11","2.2k","","1",""
"R12","2.2k","","1",""
"R13","1k","","1",""
"RV1","FSR1","","1",""
"RV2","FSR2","","1",""
"RV3","FSR3","","1",""
"RV4","FSR4","","1",""
"RV5","FSR5","","1",""
"RV6","FSR6","","1",""
"U1","ESP32-DevKit-30","","1",""
"U2","ULN2803A","","1",""
"U3","DFPlayer-Mini","","1",""
